statement_type,item_code,item_name,original_column_name,is_summary_marker,indent_level,non_missing_count,non_missing_rate,sample_min,sample_p1,sample_median,sample_p99,sample_max,unit_inferred,candidate_role_hint
손익계산서,U01B470010700,자산처분(폐기)손실(IFRS)(천원)      자산처분(폐기)손실(IFRS)(천원)(IFRS)(천원),[[U01B470010700]   자산처분(폐기)손실(*)(IFRS)(천원)][U01B470010700]   자산처분(폐기)손실(*)(IFRS)(천원)(IFRS)(천원),True,0,4400,0.9392,0.0,0.0,10071.5,20530850.130000368,358083000.0,천원,
손익계산서,U01B470010800,매출채권처분손실(IFRS)(천원)         매출채권처분손실(IFRS)(천원)(IFRS)(천원),[[U01B470010800]      매출채권처분손실(IFRS)(천원)][U01B470010800]      매출채권처분손실(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,4256560.000000034,70093302.0,천원,
손익계산서,U01B470010900,투자부동산처분손실(IFRS)(천원)         투자부동산처분손실(IFRS)(천원)(IFRS)(천원),[[U01B470010900]      투자부동산처분손실(IFRS)(천원)][U01B470010900]      투자부동산처분손실(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,235193.35000000062,5892687.0,천원,
손익계산서,U01B470011000,투자자산처분손실(IFRS)(천원)         투자자산처분손실(IFRS)(천원)(IFRS)(천원),[[U01B470011000]      투자자산처분손실(IFRS)(천원)][U01B470011000]      투자자산처분손실(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,192038.46000000084,12204632.0,천원,
손익계산서,U01B470011100,"유형,리스자산처분손실(IFRS)(천원)         유형,리스자산처분손실(IFRS)(천원)(IFRS)(천원)","[[U01B470011100]      유형,리스자산처분손실(IFRS)(천원)][U01B470011100]      유형,리스자산처분손실(IFRS)(천원)(IFRS)(천원)",False,0,4400,0.9392,0.0,0.0,2162.5,14141308.560000006,358083000.0,천원,
손익계산서,U01B470011200,임대주택자산처분손실(IFRS)(천원)         임대주택자산처분손실(IFRS)(천원)(IFRS)(천원),[[U01B470011200]      임대주택자산처분손실(IFRS)(천원)][U01B470011200]      임대주택자산처분손실(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,0.0,0.0,천원,
손익계산서,U01B470011300,무형자산처분손실(IFRS)(천원)         무형자산처분손실(IFRS)(천원)(IFRS)(천원),[[U01B470011300]      무형자산처분손실(IFRS)(천원)][U01B470011300]      무형자산처분손실(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,592888.5300000001,31082000.0,천원,
손익계산서,U01B470011400,매각예정 처분자산집단 처분손실(IFRS)(천원)         매각예정 처분자산집단 처분손실(IFRS)(천원)(IFRS)(천원),[[U01B470011400]      매각예정 처분자산집단 처분손실(IFRS)(천원)][U01B470011400]      매각예정 처분자산집단 처분손실(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,163068.80000000112,27424000.0,천원,
손익계산서,U01B470011460,당기손익-공정가치측정 금융자산처분손실(IFRS)(천원)         당기손익-공정가치측정 금융자산처분손실(IFRS)(천원)(IFRS)(천원),[[U01B470011460]      당기손익-공정가치측정 금융자산처분손실(IFRS)(천원)][U01B470011460]      당기손익-공정가치측정 금융자산처분손실(IFRS)(천원)(IFRS)(천원),False,0,2992,0.6386,0.0,0.0,0.0,59436.530000000115,5382475.0,천원,
손익계산서,U01B470011470,기타포괄손익-공정가치측정 금융자산처분손실(IFRS)(천원)         기타포괄손익-공정가치측정 금융자산처분손실(IFRS)(천원)(IFRS)(천원),[[U01B470011470]      기타포괄손익-공정가치측정 금융자산처분손실(IFRS)(천원)][U01B470011470]      기타포괄손익-공정가치측정 금융자산처분손실(IFRS)(천원)(IFRS)(천원),False,0,2992,0.6386,0.0,0.0,0.0,0.0,1260058.0,천원,
손익계산서,U01B470011480,상각후원가측정 금융자산처분손실(IFRS)(천원)         상각후원가측정 금융자산처분손실(IFRS)(천원)(IFRS)(천원),[[U01B470011480]      상각후원가측정 금융자산처분손실(IFRS)(천원)][U01B470011480]      상각후원가측정 금융자산처분손실(IFRS)(천원)(IFRS)(천원),False,0,2992,0.6386,0.0,0.0,0.0,0.0,48572.0,천원,
손익계산서,U01B470011500,기타자산처분손실(IFRS)(천원)         기타자산처분손실(IFRS)(천원)(IFRS)(천원),[[U01B470011500]      기타자산처분손실(IFRS)(천원)][U01B470011500]      기타자산처분손실(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,232605.02000000022,4363000.0,천원,
손익계산서,U01B470011600,재고자산폐기(처분)손실(IFRS)(천원)      재고자산폐기(처분)손실(IFRS)(천원)(IFRS)(천원),[[U01B470011600]   재고자산폐기(처분)손실(IFRS)(천원)][U01B470011600]   재고자산폐기(처분)손실(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,675145.8200000032,17876226.0,천원,
손익계산서,U01B470011700,자산평가손실(IFRS)(천원)      자산평가손실(IFRS)(천원)(IFRS)(천원),[[U01B470011700]   자산평가손실(IFRS)(천원)][U01B470011700]   자산평가손실(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,388891.2700000018,46434000.0,천원,
손익계산서,U01B470011800,자산재평가손실(IFRS)(천원)      자산재평가손실(IFRS)(천원)(IFRS)(천원),[[U01B470011800]   자산재평가손실(IFRS)(천원)][U01B470011800]   자산재평가손실(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,0.0,15585944.0,천원,
