ratio_id,ratio_name_ko,category,required_items,all_items_found,missing_items,ambiguous_items,available_firm_year_count,available_firm_year_rate,eligible_for_direct_calculation,fallback_possible,fallback_source,decision,availability_status,requires_lag,requires_average_denominator,requires_growth_base,priority
R109,단기금융부채/현금성자산,부채상환능력,U01A811026700|U01A111050000|U01A811027400,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R110,현금성자산/총차입금,부채상환능력,U01A111050000|U01A811027400|U01A811012800|U01A811026700|U01A811000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R111,현금성자산/단기차입금,부채상환능력,U01A811026700|U01A111050000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R112,내부자금조달률,부채상환능력,U01D100000000|U01D206012400,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R114,순차입금상환가능기간,부채상환능력,U01B350014100|U01B350014300|U01A111050000|U01A811027400|U01A811012800|U01A811026700|U01A811000000|U01B430000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R115,유동비율,유동성,U01A111038600|U01A811026000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,핵심
R116,당좌비율,유동성,U01A111038600|U01A111038700|U01A811026000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,핵심
R117,현금비율,유동성,U01A811026000|U01A111050000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,핵심
R118,순운전자본비율,유동성,U01A111038600|U01A100000000|U01A811026000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,핵심
R119,순운전자본/매출액,유동성,U01A111038600|U01B100000000|U01A811026000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R120,유동자산/총자산,유동성,U01A111038600|U01A100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R121,유동부채/총자산,유동성,U01A100000000|U01A811026000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R122,유동부채/매출액,유동성,U01B100000000|U01A811026000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R123,유동자산/매출액,유동성,U01A111038600|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R124,현금성자산/총자산,유동성,U01A100000000|U01A111050000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R125,현금성자산/매출액,유동성,U01B100000000|U01A111050000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R126,현금성자산/총부채,유동성,U01A800000000|U01A111050000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R127,현금성자산/유동부채,유동성,U01A811026000|U01A111050000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R128,현금성자산/단기금융부채,유동성,U01A811026700|U01A111050000|U01A811027400,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R130,즉시가용유동성/단기금융부채,유동성,U01A811027400|U01A811026700|U01A111050000|U01A111043200,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R131,OCF/유동부채,유동성,U01D100000000|U01A811026000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,핵심
R132,OCF/단기금융부채,유동성,U01A811026700|U01D100000000|U01A811027400,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R133,FCF/유동부채,유동성,U01D100000000|U01D206012400|U01A811026000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R134,재고자산/유동자산,유동성,U01A111038600|U01A111038700,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R135,매출채권/유동자산,유동성,U01A111038600|U01A111045400,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R136,매입채무/유동부채,유동성,U01A811030700|U01A811026000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R137,재고자산/매출액,유동성,U01B100000000|U01A111038700,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R138,매출채권/매출액,유동성,U01B100000000|U01A111045400,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R139,매입채무/매출액,유동성,U01A811030700|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R140,순영업운전자본/매출액,유동성,U01A111038700|U01A811030700|U01B100000000|U01A111045400,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R141,영업운전자본/총자산,유동성,U01A111038700|U01A811030700|U01A100000000|U01A111045400,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R143,총자산회전율,활동성,U01A100000000|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,핵심
R145,비유동자산회전율,활동성,U01A110000000|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,확장
R146,유동자산회전율,활동성,U01A111038600|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,확장
R147,자기자본회전율,활동성,U01A600000000|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,확장
R148,타인자본회전율,활동성,U01A800000000|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,핵심
R150,운전자본회전율,활동성,U01A111038600|U01B100000000|U01A811026000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,True,True,False,확장
R152,재고자산회전율,활동성,U01A111038700|U01B200000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,핵심
R153,매출채권회전율,활동성,U01A111045400|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,핵심
R154,매입채무회전율,활동성,U01A811030700|U01B200000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,확장
R155,순영업운전자본회전율,활동성,U01A111038700|U01A111045400|U01A811030700|U01B100000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,True,True,False,확장
R156,현금성자산회전율,활동성,U01B100000000|U01A111050000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,확장
R157,자본금회전율,활동성,U01A611000000|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,확장
R158,매출채권회전일수,활동성,U01B100000000|U01A111045400,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,False,False,확장
R159,재고자산회전일수,활동성,U01B200000000|U01A111038700,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,False,False,확장
R160,매입채무회전일수,활동성,U01A811030700|U01B200000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,False,False,확장
R163,재고보유기간,활동성,U01B200000000|U01A111038700,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,False,False,확장
R164,매출채권회수기간,활동성,U01B100000000|U01A111045400,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,False,False,확장
R165,매입채무지급기간,활동성,U01A811030700|U01B200000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,False,False,확장
R169,매출액증가율,성장성,U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,False,True,핵심
R170,매출총이익증가율,성장성,U01B201014400,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,False,True,확장
R171,영업이익증가율,성장성,U01B430000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,False,True,핵심
R172,정상영업이익증가율,성장성,U01B430000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,False,True,확장
